item,length,logprob,ppl,ppl1,score
teina,5,-4.592602,5.826847698,8.289348527,-0.765433667
tekau,5,-4.488772,5.599234632,7.902316139,-0.748128667
tEnAkoe,7,-6.612639,6.707796445,8.803648905,-0.826579875
tEnAkoutou,10,-9.453184,7.234030969,8.816950447,-0.859380364
tikaNa,6,-4.736031,4.748712283,6.156565439,-0.676575857
tiki,4,-3.197132,4.359396789,6.299165226,-0.6394264
tohuNa,6,-4.663764,4.637159135,5.988168329,-0.666252
toru,4,-3.770761,5.677435382,8.763755446,-0.7541522
tuakana,7,-5.4447,4.792780063,5.995346467,-0.6805875
tupuna,6,-4.749912,4.770444605,6.18944916,-0.678558857
turituri,8,-6.981515,5.966558305,7.459150589,-0.775723889
upoko,5,-5.57496,8.494933823,13.03142773,-0.92916
utu,3,-3.601088,7.948258808,15.86217243,-0.900272
waewae,6,-6.613266,8.805464808,12.65350963,-0.944752286
waha,4,-3.512419,5.040618163,7.552743747,-0.7024838
wAhitapu,8,-6.595698,5.405742237,6.675168761,-0.732855333
wahine,6,-5.166955,5.471878286,7.263721203,-0.738136429
wai,3,-3.142431,6.103904779,11.15519073,-0.78560775
waiata,6,-5.259587,5.641174985,7.526582621,-0.751369571
waka,4,-3.494917,5.000154226,7.477032184,-0.6989834
wAnaNa,6,-4.769743,4.801665,6.236733212,-0.681391857
waru,4,-3.857119,5.907773005,9.210426687,-0.7714238
faea,4,-3.638998,5.34317748,8.123618127,-0.7277996
fakapapa,8,-6.536023,5.323837338,6.5614961,-0.726224778
fakaroNo,8,-7.503363,6.818785045,8.668029386,-0.833707
fanau,5,-4.810126,6.334140125,9.162736555,-0.801687667
fANai,5,-4.859096,6.454302757,9.371717742,-0.809849333
fare,4,-3.703408,5.504040235,8.430474129,-0.7406816
fenua,5,-5.198325,7.351695319,10.95632736,-0.8663875
fero,4,-4.085213,6.562096308,10.50275537,-0.8170426
fitu,4,-4.123934,6.680159006,10.73948609,-0.8247868
ahatiati,8,-7.576629,6.947805733,8.852758663,-0.841847667
ahiahake,8,-7.364477,6.580747421,8.328362596,-0.818275222
amu,3,-3.43712,7.232359408,13.98642326,-0.85928
ape,3,-4.043544,10.25382733,22.27655349,-1.010886
apEhia,6,-6.273944,7.875492356,11.10854896,-0.896277714
arane,5,-4.864298,6.467200618,9.394195631,-0.810716333
ario,4,-4.870522,9.421160445,16.50556898,-0.9741044
eha,3,-3.788978,8.856140543,18.32283483,-0.9472445
eko,3,-3.987465,9.928102448,21.33806334,-0.99686625
haeo,4,-5.221403,11.07339011,20.19997119,-1.0442806
hakaatU,7,-6.818054,7.116340994,9.419063273,-0.85225675
hAno,4,-3.963962,6.205723194,9.794685597,-0.7927924
hepaua,6,-6.079199,7.386811217,10.30860344,-0.868457
hepiti,6,-5.395347,5.89880252,7.929111044,-0.770763857
hewe,4,-4.448262,7.756260736,12.94391046,-0.8896524
hiamu,5,-5.088596,7.048542672,10.4164372,-0.848099333
hiNi,4,-4.175392,6.8403512,11.06236541,-0.8350784
hiu,3,-3.959948,9.772079692,20.89212746,-0.989987
hoeNaima,8,-8.720857,9.31073811,12.30572272,-0.968984111
hoihoko,7,-6.749028,6.976353842,9.207608754,-0.8436285
hOke,4,-3.725565,5.56048918,8.538690066,-0.745113
horetI,6,-4.887112,4.990670038,6.524070819,-0.698158857
howaka,6,-5.6898,6.49873116,8.877690494,-0.812828571
hueNi,5,-5.61527,8.6273682,13.27559516,-0.935878333
hUku,4,-3.705989,5.510586196,8.443008957,-0.7411978
humo,4,-4.459771,7.797478752,13.02995002,-0.8919542
huNe,4,-5.186588,10.8972672,19.7991707,-1.0373176
hupU,4,-4.293868,7.223931181,11.84314373,-0.8587736
ihiri,5,-4.878885,6.503505322,9.457514156,-0.8131475
ikau,4,-4.585738,8.263187358,14.00988273,-0.9171476
iko,3,-3.86979,9.277853274,19.49530347,-0.9674475
iNa,3,-3.147569,6.121984843,11.19926875,-0.78689225
iNi,3,-3.632543,8.093488426,16.24978678,-0.90813575
iniata,6,-5.843859,6.836550088,9.418386315,-0.834837
ino,3,-3.704398,8.43527994,17.17114807,-0.9260995
ire,3,-3.763268,8.726035993,17.96481158,-0.940817
iru,3,-4.393857,12.54481468,29.14868722,-1.09846425
kawaa,5,-5.681543,8.849603917,13.68701049,-0.946923833
kAweroni,8,-7.190445,6.294168039,7.92146714,-0.798938333
kafa,4,-3.984891,6.265824117,9.913402738,-0.7969782
kafakafa,8,-7.412365,6.661869348,8.443949455,-0.823596111
kafania,7,-6.379299,6.27209135,8.153206247,-0.797412375
kafafani,8,-7.606143,7.000466795,8.928281506,-0.845127
kemoramo,8,-7.748341,7.25983546,9.301278002,-0.860926778
kepi,4,-4.265644,7.130644744,11.65228236,-0.8531288
kiNiro,6,-6.113332,7.470215713,10.44452435,-0.873333143
kitO,4,-3.923534,6.091255268,9.569373373,-0.7847068
kOioromApara,12,-10.658704,6.605418032,7.730815938,-0.819900308
komekua,7,-6.830616,7.142117651,9.458064812,-0.853827
kOmuafiu,8,-8.273378,8.303557975,10.81862955,-0.919264222
kOua,4,-3.94523,6.15242035,9.689636832,-0.789046
kUhatapO,8,-7.398366,6.638052252,8.40999524,-0.822040667
kupO,4,-4.164981,6.807634021,10.99626633,-0.8329962
kUro,4,-4.193698,6.898260648,11.17955457,-0.8387396
kUfati,6,-5.728615,6.582237848,9.010920678,-0.818373571
mAheneketoa,11,-9.817554,6.578539701,7.807372652,-0.8181295
makei,5,-4.838631,6.403810914,9.283809065,-0.8064385
mamatOhI,8,-6.273034,4.977414146,6.083160147,-0.697003778
maNo,4,-4.15633,6.780566818,10.94164198,-0.831266
mAorawau,8,-7.392615,6.628292523,8.396085935,-0.821401667
mAorua,6,-5.749789,6.628243103,9.084440121,-0.821398429
mautAmu,7,-6.15425,5.878699351,7.571441505,-0.76928125
mAwi,4,-4.61943,8.392396616,14.28425189,-0.923886
meahua,6,-6.117516,7.480503959,10.46130827,-0.873930857
mero,4,-3.977575,6.244749185,9.871740944,-0.795515
mie,3,-4.297348,11.86689228,27.06757404,-1.074337
mihea,5,-4.873301,6.489583628,9.433225146,-0.812216833
mini,4,-3.558106,5.147794482,7.754012557,-0.7116212
moapi,5,-5.140527,7.190423995,10.66855007,-0.8567545
moeo,4,-5.375356,11.88697091,22.07186342,-1.0750712
mOha,4,-3.879914,5.970116418,9.332081006,-0.7759828
mONa,4,-3.904473,6.038020734,9.464948385,-0.7808946
muNi,4,-4.978515,9.901545785,17.56421522,-0.995703
mupati,6,-5.591402,6.291753716,8.548705053,-0.798771714
naipu,5,-5.696317,8.899921308,13.78045001,-0.949386167
nANa,4,-3.389293,4.76275893,7.035958189,-0.6778586
natoi,5,-5.149373,7.214875368,10.71209955,-0.858228833
neetia,6,-6.923995,9.753088002,14.25604858,-0.989142143
nema,4,-4.299755,7.24354229,11.88334621,-0.859951
Nae,3,-3.724093,8.53145786,17.43268703,-0.93102325
Naena,5,-5.203985,7.36768133,10.98492257,-0.867330833
Napoto,6,-5.731537,6.588567505,9.021030822,-0.818791
NafAniti,8,-6.95533,5.926720469,7.403144903,-0.772814444
Nehi,4,-4.61953,8.392783109,14.28507418,-0.923906
Nema,4,-4.909127,9.590149999,16.87647537,-0.9818254
Nemetata,8,-8.169379,8.085535305,10.49959083,-0.907708778
Nepa,4,-4.812869,9.17431822,15.96677664,-0.9625738
Noa,3,-3.90661,9.476598914,20.05410725,-0.9766525
Nue,3,-4.775158,15.62390178,39.0588393,-1.1937895
Nuta,4,-4.596918,8.30584075,14.10033724,-0.9193836
nia,3,-3.353466,6.892336935,13.11662191,-0.8383665
niaire,6,-6.678704,8.997059061,12.97529777,-0.954100571
niakafa,7,-7.143154,7.814375027,10.48215486,-0.89289425
niapukau,8,-7.671009,7.117612386,9.096537726,-0.852334333
niauti,6,-6.579459,8.708086097,12.49040441,-0.939922714
niafani,7,-6.943913,7.378857528,9.817198479,-0.867989125
niafihia,8,-8.005154,7.752853108,10.01484541,-0.889461556
nito,4,-4.291352,7.215565942,11.82600341,-0.8582704
nitumaotaha,11,-10.251964,7.150399934,8.550602694,-0.854330333
nOitia,6,-5.985273,7.162077234,9.943642457,-0.855039
nopo,4,-4.568579,8.198148863,13.87218111,-0.9137158
nue,3,-4.728855,15.21296093,37.6951087,-1.18221375
nuhi,4,-4.479554,7.868841545,13.17918335,-0.8959108
nure,4,-4.409271,7.618232102,12.65662026,-0.8818542
nuti,4,-4.382506,7.524908094,12.46311206,-0.8765012
pahapA,6,-4.941244,5.080330896,6.661018911,-0.705892
pAhApAko,8,-6.520495,5.302729143,6.532236124,-0.724499444
paihoui,7,-7.256746,8.074083752,10.88123025,-0.90709325
pAuki,5,-4.830511,6.383886642,9.249158034,-0.805085167
paurounu,8,-8.47742,8.748539471,11.47301338,-0.941935556
pAfi,4,-4.306284,7.265354336,11.92809255,-0.8612568
peu,3,-4.072679,10.42724913,22.78031194,-1.01816975
pewe,4,-4.477622,7.861843602,13.16453429,-0.8955244
pie,3,-4.392003,12.53143339,29.1072382,-1.09800075
pIhu,4,-4.245771,7.065683829,11.51974193,-0.8491542
pikeko,6,-5.671575,6.459888173,8.815815651,-0.810225
pINi,4,-4.520717,8.019428137,13.49519766,-0.9041434
poraki,6,-4.925633,5.054309788,6.621232427,-0.703661857
porakipukau,11,-9.338314,6.000574517,7.062161361,-0.778192833
pote,4,-4.10775,6.630556804,10.63989887,-0.82155
pukau,5,-4.489179,5.600109256,7.903797412,-0.7481965
pukaunia,8,-7.226623,6.352696554,8.004383259,-0.802958111
pume,4,-4.565685,8.18723017,13.8490904,-0.913137
pUno,4,-4.304937,7.260848915,11.91884714,-0.8609874
puora,5,-5.714478,8.962166335,13.89618541,-0.952413
pUrafa,6,-5.814769,6.771443915,9.313826996,-0.830681286
pUtio,5,-5.199457,7.354889744,10.96204044,-0.866576167
pUfi,4,-4.653253,8.524140512,14.5650926,-0.9306506
rahue,5,-5.000848,6.815138194,10.00390595,-0.833474667
raNu,4,-4.369033,7.478363999,12.36682599,-0.8738066
rapeia,6,-5.654594,6.42390549,8.758552415,-0.807799143
rapuko,6,-5.406565,5.920609648,7.963319978,-0.772366429
reru,4,-3.848033,5.883105005,9.162378951,-0.7696066
rowa,4,-4.319404,7.309384366,12.01852026,-0.8638808
rofaohi,7,-7.196834,7.936047344,10.66888768,-0.89960425
rukO,4,-3.953669,6.176377042,9.736822433,-0.7907338
rume,4,-4.307237,7.268543602,11.93463798,-0.8614474
rumo,4,-4.369136,7.47871873,12.36755926,-0.8738272
