item,length,logprob,ppl,ppl1,score
hupU,4,-4.957495,9.80616,17.35297,-0.991499
ihiri,5,-5.355534,7.808885,11.77896,-0.892589
ikau,4,-5.499913,12.58875,23.71255,-1.0999826
iko,3,-4.472171,13.12329,30.95449,-1.11804275
iNa,3,-4.132426,10.79211,23.84929,-1.0331065
iNi,3,-4.618497,14.27658,34.6337,-1.15462425
iniata,6,-7.557407,12.01239,18.17891,-1.079629571
ino,3,-4.134936,10.80772,23.89527,-1.033734
ire,3,-4.526402,13.53943,32.27012,-1.1316005
iru,3,-4.7367,15.28181,37.92275,-1.184175
kawaa,5,-5.904131,9.638776,15.16444,-0.984021833
kAweroni,8,-7.568002,6.932488,8.830805,-0.840889111
kafa,4,-4.817284,9.192992,16.00741,-0.9634568
kafakafa,8,-7.227517,6.35415,8.006444,-0.803057444
kafania,7,-6.789597,7.058292,9.331306,-0.848699625
kafafani,8,-8.648699,9.140429,12.05278,-0.960966556
kemoramo,8,-9.880287,12.52592,17.1805,-1.097809667
kepi,4,-5.892366,15.08249,29.72292,-1.1784732
kiNiro,6,-6.955999,9.856307,14.43222,-0.993714143
kitO,4,-4.732068,8.839214,15.24113,-0.9464136
kOioromApara,12,-10.6572,6.603658,7.728585,-0.819784615
komekua,7,-7.356401,8.309026,11.24383,-0.919550125
kOmuafiu,8,-8.314123,8.39057,10.94625,-0.923791444
kOua,4,-4.093466,6.587084,10.55277,-0.8186932
kUhatapO,8,-8.432508,8.64859,11.32566,-0.936945333
kupO,4,-4.934852,9.704437,17.12825,-0.9869704
kUro,4,-4.393549,7.563273,12.54259,-0.8787098
kUfati,6,-6.98142,9.939071,14.57371,-0.997345714
mAheneketoa,11,-9.786909,6.53997,7.757451,-0.81557575
makei,5,-5.780704,9.19286,14.32652,-0.963450667
mamatOhI,8,-6.729678,5.594251,6.937607,-0.747742
maNo,4,-4.471068,7.83815,13.11496,-0.8942136
mAorawau,8,-8.773592,9.437209,12.49393,-0.974843556
mAorua,6,-5.828166,6.801351,9.361837,-0.832595143
mautAmu,7,-6.850478,7.183064,9.52006,-0.85630975
mAwi,4,-5.302228,11.49332,21.16202,-1.0604456
meahua,6,-7.13301,10.44724,15.44667,-1.019001429
mero,4,-4.900512,9.552179,16.79299,-0.9801024
mie,3,-4.950193,17.28018,44.67498,-1.23754825
mihea,5,-5.493274,8.232765,12.55032,-0.915545667
mini,4,-4.371062,7.485354,12.38128,-0.8742124
moapi,5,-6.506047,12.14342,20.00826,-1.084341167
moeo,4,-5.032377,10.15022,18.11733,-1.0064754
mOha,4,-4.431856,7.697883,12.82225,-0.8863712
mONa,4,-4.362098,7.454519,12.31755,-0.8724196
muNi,4,-5.538317,12.81337,24.24261,-1.1076634
mupati,6,-6.874674,9.596135,13.98875,-0.982096286
naipu,5,-6.736848,13.26808,22.25203,-1.122808
nANa,4,-4.556483,8.152607,13.77592,-0.9112966
natoi,5,-5.97164,9.891756,15.64329,-0.995273333
neetia,6,-6.623008,8.833728,12.70091,-0.946144
nema,4,-6.225157,17.58051,35.9989,-1.2450314
Nae,3,-4.607019,14.18256,34.32993,-1.15175475
Naena,5,-6.5545,12.37134,20.45973,-1.092416667
Napoto,6,-7.41916,11.47836,17.23958,-1.05988
NafAniti,8,-8.976789,9.940791,13.24642,-0.997421
Nehi,4,-5.260304,11.27355,20.65742,-1.0520608
Nema,4,-6.114053,16.70362,33.76862,-1.2228106
Nemetata,8,-9.282714,10.7501,14.46569,-1.031412667
Nepa,4,-6.291572,18.12652,37.40184,-1.2583144
Noa,3,-4.26801,11.66817,26.46489,-1.0670025
Nue,3,-4.705146,15.00675,37.01537,-1.1762865
Nuta,4,-5.002661,10.01226,17.81005,-1.0005322
nia,3,-3.792708,8.875176,18.37537,-0.948177
niaire,6,-9.170433,20.42029,33.76024,-1.310061857
niakafa,7,-9.409633,15.0039,22.09191,-1.176204125
niapukau,8,-9.976619,12.83847,17.66353,-1.108513222
niauti,6,-8.844695,18.34543,29.79311,-1.263527857
niafani,7,-9.406936,14.99226,22.07232,-1.175867
niafihia,8,-9.578023,11.59377,15.749,-1.064224778
nito,4,-5.487658,12.5179,23.54586,-1.0975316
nitumaotaha,11,-12.53747,11.08637,13.79654,-1.044789167
nOitia,6,-5.276957,5.673499,7.576922,-0.753851
nopo,4,-6.03298,16.09148,32.22886,-1.206596
nue,3,-6.205785,35.59969,117.1102,-1.55144625
nuhi,4,-5.048687,10.22674,18.28823,-1.0097374
nure,4,-6.20651,17.43018,35.61455,-1.241302
nuti,4,-5.395608,11.99835,22.33069,-1.0791216
pahapA,6,-5.72729,6.579369,9.006339,-0.818184286
pAhApAko,8,-7.581754,6.956922,8.865827,-0.842417111
paihoui,7,-8.266326,10.79669,15.16714,-1.03329075
pAuki,5,-5.547175,8.404835,12.86575,-0.924529167
paurounu,8,-9.249659,10.65957,14.32872,-1.027739889
pAfi,4,-4.746072,8.896402,15.36449,-0.9492144
peu,3,-5.588364,24.95118,72.91017,-1.397091
pewe,4,-5.414078,12.10084,22.56937,-1.0828156
pie,3,-4.88069,16.60246,42.3542,-1.2201725
pIhu,4,-4.764857,8.973695,15.53153,-0.9529714
pikeko,6,-7.047772,10.15838,14.94957,-1.006824571
pINi,4,-4.628168,8.426236,14.35628,-0.9256336
poraki,6,-5.550301,6.207264,8.414925,-0.792900143
porakipukau,11,-10.57885,7.613268,9.156173,-0.881570833
pote,4,-4.168966,6.82014,11.02152,-0.8337932
pukau,5,-4.838438,6.403336,9.282983,-0.806406333
pukaunia,8,-7.490141,6.795758,8.635105,-0.832237889
pume,4,-5.072388,10.33898,18.53946,-1.0144776
pUno,4,-4.771377,9.000683,15.58994,-0.9542754
puora,5,-5.530668,8.351759,12.76831,-0.921778
pUrafa,6,-6.516105,8.528489,12.19039,-0.930872143
pUtio,5,-5.408098,7.968008,12.06757,-0.901349667
pUfi,4,-4.778981,9.032257,15.65833,-0.9557962
rahue,5,-5.659492,8.775031,13.54872,-0.943248667
raNu,4,-4.730273,8.83191,15.22539,-0.9460546
rapeia,6,-6.431094,8.293306,11.7991,-0.918727714
rapuko,6,-6.377336,8.147943,11.55818,-0.911048
reru,4,-4.949195,9.768749,17.27025,-0.989839
rowa,4,-5.024545,10.11368,18.03584,-1.004909
rofaohi,7,-8.589584,11.84944,16.86877,-1.073698
rukO,4,-5.320928,11.59273,21.39105,-1.0641856
rume,4,-5.738345,14.04977,27.20109,-1.147669
rumo,4,-6.067732,16.35108,32.88008,-1.2135464
rUne,4,-5.541139,12.83004,24.28202,-1.1082278
ruNu,4,-5.159164,10.76051,19.48907,-1.0318328
rupa,4,-4.862089,9.384643,16.42564,-0.9724178
rupo,4,-5.335593,11.67128,21.57239,-1.0671186
taetU,5,-5.605045,8.59358,13.21323,-0.934174167
tAhuma,6,-5.948257,7.075401,9.803389,-0.849751
takamIa,7,-5.408464,4.743053,5.924309,-0.676058
tAkapI,6,-5.036625,5.242252,6.909356,-0.719517857
tAmarutO,8,-7.387498,6.619621,8.383729,-0.820833111
taoNirua,8,-8.304252,8.369407,10.9152,-0.922694667
tapopa,6,-5.834673,6.815923,9.385241,-0.833524714
tAroraNI,8,-6.729147,5.593491,6.936547,-0.747683
tatUhe,6,-5.809879,6.76056,9.296363,-0.829982714
tafeNafi,8,-8.416222,8.612631,11.2727,-0.935135778
teaori,6,-7.116254,10.38981,15.34766,-1.016607714
temi,4,-5.72569,13.96812,27.00366,-1.145138
tetohe,6,-6.470114,8.40044,11.97712,-0.924302
tetoua,6,-7.13873,10.46691,15.48062,-1.019818571
teu,3,-4.710185,15.05034,37.15879,-1.17754625
tIahu,5,-5.455435,8.114078,12.33352,-0.909239167
tie,3,-4.517462,13.46993,32.04945,-1.1293655
tikaweneri,10,-10.24469,8.537597,10.5796,-0.931335455
tIkIhiki,8,-6.951163,5.920405,7.39427,-0.772351444
tikOha,6,-5.97653,7.141508,9.910334,-0.85379
tikU,4,-4.654871,8.530493,14.57866,-0.9309742
tIpe,4,-5.005263,10.02427,17.83675,-1.0010526
tIpo,4,-4.811018,9.166501,15.94977,-0.9622036
tItA,4,-4.367588,7.473388,12.35654,-0.8735176
titapa,6,-5.871284,6.898502,9.518034,-0.838754857
titapapukau,11,-9.961374,6.762613,8.04599,-0.8301145
tifi,4,-4.79131,9.083686,15.76985,-0.958262
tohiAhia,8,-6.632135,5.456371,6.745542,-0.736903889
toketi,6,-5.522581,6.15092,8.325879,-0.788940143
touki,5,-5.768652,9.150442,14.24723,-0.961442
tuanapU,7,-7.6469,9.033635,12.37127,-0.9558625
tUkeiati,8,-9.337302,10.90129,14.69477,-1.037478
tumeiroruare,12,-12.54579,9.227006,11.10408,-0.965060769
tufe,4,-4.819599,9.202796,16.02875,-0.9639198
uke,3,-4.35969,12.30049,28.39423,-1.0899225
uko,3,-5.023299,18.0229,47.25338,-1.25582475
unati,5,-5.811723,9.302945,14.53264,-0.9686205
uro,3,-4.418582,12.72464,29.70713,-1.1046455
uti,3,-4.374479,12.40566,28.71837,-1.09361975
waemura,7,-7.376685,8.357678,11.31911,-0.922085625
wawemiti,8,-9.199008,10.52233,14.12134,-1.022112
wehao,5,-6.362758,11.49369,18.7306,-1.060459667
wereu,5,-5.897166,9.613045,15.11587,-0.982861
faha,4,-5.28617,11.40864,20.9673,-1.057234
fAhu,4,-5.346869,11.73205,21.71287,-1.0693738
faiE,4,-4.906074,9.576678,16.84685,-0.9812148
fakOiaweahua,12,-12.25252,8.759951,10.49647,-0.942501538
fANaki,6,-5.889928,6.94094,9.58638,-0.841418286
fani,4,-3.720821,5.548354,8.515403,-0.7441642
fanikafa,8,-8.479317,8.752786,11.47928,-0.942146333
faninia,7,-6.301438,6.133096,7.94704,-0.78767975
faniporaki,10,-9.453749,7.234887,8.818098,-0.859431727
fanititapa,10,-8.673739,6.144998,7.368412,-0.788521727
fanifani,8,-7.680525,7.134962,9.121486,-0.853391667
fataI,5,-4.483931,5.588842,7.884718,-0.747321833
fehu,4,-5.657481,13.53618,25.96392,-1.1314962
fenepOna,8,-7.766052,7.292807,9.348814,-0.862894667
feNo,4,-5.448141,12.29216,23.01629,-1.0896282
feto,4,-4.738831,8.866785,15.30057,-0.9477662
feu,3,-4.274465,11.7116,26.59633,-1.06861625
fihia,5,-5.461693,8.133588,12.36911,-0.910282167
fihiania,8,-9.355994,10.95355,14.77404,-1.039554889
furi,4,-5.1259,10.59693,19.11943,-1.02518
futarirari,10,-10.78485,9.559618,11.98077,-0.980440909
wikuruta,8,-8.730812,9.334483,12.34103,-0.970090222
wura,4,-5.031271,10.14505,18.10581,-1.0062542
wuri,4,-4.965037,9.840277,17.42847,-0.9930074
