item,length,logprob,ppl,ppl1,score
toru,4,-5.052629,10.24533,18.32978,-1.0105258
tuakana,7,-7.096212,7.709504,10.32154,-0.8870265
tupuna,6,-5.344788,5.801512,7.776748,-0.763541143
turituri,8,-8.338114,8.44223,11.0221,-0.926457111
upoko,5,-6.87778,14.00544,23.74412,-1.146296667
utu,3,-4.08352,10.49252,22.97065,-1.02088
waewae,6,-6.550959,8.626832,12.35454,-0.935851286
waha,4,-4.233815,7.026888,11.44073,-0.846763
wAhitapu,8,-8.52751,8.861376,11.63962,-0.947501111
wahine,6,-6.144807,7.547959,10.57145,-0.877829571
wai,3,-2.660316,4.624651,7.704987,-0.665079
waiata,6,-6.713096,9.09942,13.14769,-0.959013714
waka,4,-3.868791,5.939614,9.272519,-0.7737582
wAnaNa,6,-5.253608,5.630092,7.509334,-0.750515429
waru,4,-4.746702,8.898985,15.37006,-0.9493404
faea,4,-4.434003,7.705495,12.8381,-0.8868006
fakapapa,8,-5.118741,3.704666,4.363577,-0.568749
fakaroNo,8,-5.426268,4.007916,4.767421,-0.602918667
fanau,5,-5.230143,7.442016,11.11805,-0.8716905
fANai,5,-5.504349,8.26783,12.61449,-0.9173915
fare,4,-3.700092,5.49564,8.414395,-0.7400184
fenua,5,-3.858362,4.396027,5.911155,-0.643060333
fero,4,-4.361355,7.451967,12.31229,-0.872271
fitu,4,-4.694324,8.686899,14.91355,-0.9388648
ahatiati,8,-9.701465,11.96577,16.31861,-1.077940556
ahiahake,8,-7.530106,6.8656,8.735007,-0.836678444
amu,3,-5.675594,26.23605,77.95869,-1.4188985
ape,3,-6.827177,50.90897,188.6799,-1.70679425
apEhia,6,-9.257746,21.01528,34.91063,-1.322535143
arane,5,-7.205326,15.88136,27.60992,-1.200887667
ario,4,-5.479203,12.46926,23.43154,-1.0958406
eha,3,-4.535295,13.60892,32.49114,-1.13382375
eko,3,-5.413125,22.55699,63.73455,-1.35328125
haeo,4,-6.187968,17.28198,35.23643,-1.2375936
hakaatU,7,-7.462953,8.567796,11.64491,-0.932869125
hAno,4,-8.533949,50.90843,135.9838,-1.7067898
hepaua,6,-7.315952,11.09522,16.57011,-1.045136
hepiti,6,-7.496592,11.77448,17.75955,-1.070941714
hewe,4,-5.62279,13.32165,25.45057,-1.124558
hiamu,5,-7.949745,21.13283,38.89995,-1.3249575
hiNi,4,-5.839399,14.71905,28.83033,-1.1678798
hiu,3,-8.268567,116.7191,570.4125,-2.06714175
hoeNaima,8,-10.10687,13.2735,18.33829,-1.122985556
hoihoko,7,-8.071977,10.20933,14.22786,-1.008997125
hOke,4,-7.16074,27.0488,61.68576,-1.432148
horetI,6,-10.74188,34.24164,61.70404,-1.534554286
howaka,6,-6.947988,9.830365,14.38792,-0.992569714
hueNi,5,-6.817149,13.68332,23.09032,-1.1361915
hUku,4,-7.241768,28.07718,64.63115,-1.4483536
humo,4,-7.468751,31.17096,73.65255,-1.4937502
huNe,4,-6.691378,21.79092,47.08086,-1.3382756
hupU,4,-7.341189,29.39258,68.43798,-1.4682378
ihiri,5,-5.778089,9.183639,14.30928,-0.963014833
ikau,4,-4.79653,9.105545,15.8173,-0.959306
iko,3,-4.853843,16.34785,41.4904,-1.21346075
iNa,3,-3.280059,6.60716,12.39804,-0.82001475
iNi,3,-4.40131,12.59875,29.31592,-1.1003275
iniata,6,-7.850547,13.22838,20.34345,-1.121506714
ino,3,-3.805685,8.941721,18.5593,-0.95142125
ire,3,-5.519858,23.98637,69.17555,-1.3799645
iru,3,-5.434065,22.83055,64.76719,-1.35851625
kawaa,5,-8.171658,23.0114,43.08555,-1.361943
kAweroni,8,-9.774421,12.19121,16.6649,-1.086046778
kafa,4,-6.556033,20.47419,43.55202,-1.3112066
kafakafa,8,-9.70905,11.98901,16.35427,-1.078783333
kafania,7,-9.132735,13.85453,20.16863,-1.141591875
kafafani,8,-10.77468,15.7466,22.22466,-1.197186667
kemoramo,8,-12.04234,21.779,32.01051,-1.338037778
kepi,4,-6.802663,22.93679,50.19561,-1.3605326
kiNiro,6,-8.284254,15.25685,24.02752,-1.183464857
kitO,4,-4.79648,9.105338,15.81685,-0.959296
kOioromApara,12,-20.2556,36.15122,48.7491,-1.558123077
komekua,7,-10.27797,19.264,29.39556,-1.28474625
kOmuafiu,8,-9.662233,11.84627,16.13538,-1.073581444
kOua,4,-5.667029,13.59583,26.10702,-1.1334058
kUhatapO,8,-12.69019,25.70521,38.57215,-1.410021111
kupO,4,-5.248685,11.21339,20.51971,-1.049737
kUro,4,-6.33443,18.48783,38.33606,-1.266886
kUfati,6,-9.848214,25.52041,43.78939,-1.406887714
mAheneketoa,11,-14.44545,15.98776,20.56946,-1.2037875
makei,5,-4.365795,5.341122,7.467221,-0.7276325
mamatOhI,8,-13.63328,32.71963,50.60104,-1.514808889
maNo,4,-5.890836,15.07187,29.69676,-1.1781672
mAorawau,8,-7.388909,6.62201,8.387134,-0.820989889
mAorua,6,-4.118499,3.875762,4.857542,-0.588357
mautAmu,7,-9.508781,15.43824,22.82429,-1.188597625
mAwi,4,-6.857669,23.52522,51.81043,-1.3715338
meahua,6,-6.381095,8.158025,11.57486,-0.911585
mero,4,-4.528569,8.048478,13.55633,-0.9057138
mie,3,-7.37713,69.86868,287.7686,-1.8442825
mihea,5,-5.491736,8.227908,12.54144,-0.915289333
mini,4,-4.783411,9.050702,15.69831,-0.9566822
moapi,5,-8.958626,31.12464,61.90492,-1.493104333
moeo,4,-7.381977,29.9499,70.06389,-1.4763954
mOha,4,-3.992613,6.288146,9.957568,-0.7985226
mONa,4,-8.077114,41.24989,104.539,-1.6154228
muNi,4,-7.456764,30.99936,73.14605,-1.4913528
